Date,Race #,Surface,Distance,Jockey,Trainer,WIN,PLACE,SHOW
"2023-01-01",1,Dirt,"Six Furlongs","Gomez, Oscar","Jones, Eduardo",1,0,0
"2023-01-01",1,Dirt,"Six Furlongs","Davis, Dylan","Brown, Bruce",0,1,0
"2023-01-01",1,Dirt,"Six Furlongs","Huayas, Gherson (Jason)","Hennig, Mark",0,0,1
"2023-01-01",1,Dirt,"Six Furlongs","Harkie, Heman","Bond, H. James",0,0,0
"2023-01-01",1,Dirt,"Six Furlongs","Olver, Madison","Dunham, Bob",0,0,0
"2023-01-01",2,Dirt,"Six Furlongs","Carmouche, Kendrick","Rice, Linda",1,0,0
"2023-01-01",2,Dirt,"Six Furlongs","Cancel, Eric","Gorham, Michael",0,1,0
"2023-01-01",2,Dirt,"Six Furlongs","Lezcano, Jose","Rice, Linda",0,0,1
"2023-01-01",2,Dirt,"Six Furlongs","Davis, Dylan","Camejo, Jose",0,0,0
"2023-01-01",2,Dirt,"Six Furlongs","Davis, Jacqueline","Sells, Rachel",0,0,0
"2023-01-01",2,Dirt,"Six Furlongs","Franco, Manuel","Jacobson, David",0,0,0
"2023-01-01",2,Dirt,"Six Furlongs","Castillo, Amin","Persaud, Randi",0,0,0
"2023-01-01",3,Dirt,"One And One Eighth Miles","Lezcano, Jose","Pletcher, Todd",1,0,0
"2023-01-01",3,Dirt,"One And One Eighth Miles","Carmouche, Kendrick","Atras, Rob",0,1,0
"2023-01-01",3,Dirt,"One And One Eighth Miles","Franco, Manuel","Lake, Scott",0,0,1
"2023-01-01",3,Dirt,"One And One Eighth Miles","Laprida, Jeremy","Guerrero, Juan",0,0,0
"2023-01-01",3,Dirt,"One And One Eighth Miles","Davis, Dylan","Sciacca, Gary",0,0,0
"2023-01-01",4,Dirt,"Six Furlongs","Davis, Dylan","Noda, Orlando",1,0,0
"2023-01-01",4,Dirt,"Six Furlongs","Franco, Manuel","Rodriguez, Rudy",0,1,0
"2023-01-01",4,Dirt,"Six Furlongs","Laprida, Jeremy","Guerrero, Juan",0,0,1
"2023-01-01",4,Dirt,"Six Furlongs","Lezcano, Jose","Englehart, Chris",0,0,0
"2023-01-01",4,Dirt,"Six Furlongs","Acosta, J.","Cash, Norman",0,0,0
"2023-01-01",4,Dirt,"Six Furlongs","Carmouche, Kendrick","Baker, Charlton",0,0,0
"2023-01-01",4,Dirt,"Six Furlongs","Harkie, Heman","Kantarmaci, Mertkan",0,0,0
"2023-01-01",5,Dirt,"Six Furlongs","Gomez, Jose","Arriaga, Antonio",1,0,0
"2023-01-01",5,Dirt,"Six Furlongs","Harkie, Heman","Skelton, Dawn",0,1,0
"2023-01-01",5,Dirt,"Six Furlongs","Olver, Madison","Barrera III, Oscar",0,0,1
"2023-01-01",5,Dirt,"Six Furlongs","Davis, Jacqueline","Lucas, Bonnie",0,0,0
"2023-01-01",5,Dirt,"Six Furlongs","Panaijo, Jorge","Jones, Eduardo",0,0,0
"2023-01-01",5,Dirt,"Six Furlongs","Huayas, Gherson (Jason)","DeLauro, Edward",0,0,0
"2023-01-01",5,Dirt,"Six Furlongs","Maragh, Romero","Nevin, Michelle",0,0,0
"2023-01-01",6,Dirt,"Six Furlongs","Rodriguez Castro, Luis","Legall, Ricardo",1,0,0
"2023-01-01",6,Dirt,"Six Furlongs","Harkie, Heman","Bond, H. James",0,1,0
"2023-01-01",6,Dirt,"Six Furlongs","Worrie, Andre","Englehart, Chris",0,0,1
"2023-01-01",6,Dirt,"Six Furlongs","Olver, Madison","Bond, H. James",0,0,0
"2023-01-01",6,Dirt,"Six Furlongs","Gomez, Jose","Martin, Carlos",0,0,0
"2023-01-01",6,Dirt,"Six Furlongs","Laprida, Jeremy","Barrera III, Oscar",0,0,0
"2023-01-01",6,Dirt,"Six Furlongs","Huayas, Gherson (Jason)","Barker, Edward",0,0,0
"2023-01-01",6,Dirt,"Six Furlongs","Davis, Jacqueline","Englehart, Chris",0,0,0
"2023-01-01",7,Dirt,"Six And One Half Furlongs","Harkie, Heman","Quick, Patrick",1,0,0
"2023-01-01",7,Dirt,"Six And One Half Furlongs","Davis, Katie","Chichakly, Amira",0,1,0
"2023-01-01",7,Dirt,"Six And One Half Furlongs","Lezcano, Jose","Tessore, Bruno",0,0,1
"2023-01-01",7,Dirt,"Six And One Half Furlongs","Franco, Manuel","Morley, Thomas",0,0,0
"2023-01-01",7,Dirt,"Six And One Half Furlongs","Carmouche, Kendrick","Rice, Linda",0,0,0
"2023-01-01",7,Dirt,"Six And One Half Furlongs","Gomez, Jose","Rodriguez, Rudy",0,0,0
"2023-01-01",7,Dirt,"Six And One Half Furlongs","Laprida, Jeremy","Barrera III, Oscar",0,0,0
"2023-01-01",7,Dirt,"Six And One Half Furlongs","Huayas, Gherson (Jason)","Jacobson, David",0,0,0
"2023-01-01",8,Dirt,"Seven Furlongs","Franco, Manuel","Morley, Thomas",1,0,0
"2023-01-01",8,Dirt,"Seven Furlongs","Carmouche, Kendrick","Rice, Linda",0,1,0
"2023-01-01",8,Dirt,"Seven Furlongs","Davis, Dylan","Rice, Linda",0,0,1
"2023-01-01",8,Dirt,"Seven Furlongs","Cancel, Eric","Kantarmaci, Mertkan",0,0,0
"2023-01-01",8,Dirt,"Seven Furlongs","Lezcano, Jose","Asmussen, Steven",0,0,0
"2023-01-01",9,Dirt,"One Mile","Davis, Jacqueline","Legall, Ricardo",1,0,0
"2023-01-01",9,Dirt,"One Mile","Acosta, J.","Cash, Norman",0,1,0
"2023-01-01",9,Dirt,"One Mile","Huayas, Gherson (Jason)","Tessore, Bruno",0,0,1
"2023-01-01",9,Dirt,"One Mile","Lezcano, Jose","Rice, Linda",0,0,0
"2023-01-01",9,Dirt,"One Mile","Luzzi, Michael","Gyarmati, Leah",0,0,0
"2023-01-01",9,Dirt,"One Mile","Olver, Madison","Barrera III, Oscar",0,0,0
"2023-01-01",9,Dirt,"One Mile","Maragh, Romero","Noda, Orlando",0,0,0
"2023-01-01",9,Dirt,"One Mile","Worrie, Andre","Englehart, Jeffrey",0,0,0
"2023-01-01",9,Dirt,"One Mile","Gomez, Jose","Walder, Peter",0,0,0
"2023-01-01",9,Dirt,"One Mile","Franco, Manuel","Atras, Rob",0,0,0
